label,synonym,attnMap,sim_score,position,first
aeroplane,airliner,0.45680547,99.66,1,same
aeroplane,aeroplane,0.43221593,99.51,1,same
aeroplane,airplane,0.47103897,99.46,1,same
aeroplane,plane,0.42446724,99.27,1,same
aeroplane,multiengine_airplane,0.40128803,99.27,1,same
aeroplane,heavier-than-air_craft,0.2522992,96.92,1,same
aeroplane,multiengine_plane,0.3183966,96.09,1,same
aeroplane,jet_plane,0.366893,96.09,1,same
aeroplane,ski-plane,0.3261088,93.55,1,same
aeroplane,jet,0.34190407,92.68,1,same
aeroplane,jet-propelled_plane,0.27136248,88.13,1,same
aeroplane,delta_wing,0.2602171,85.06,1,same
aeroplane,tanker_plane,0.34645832,84.67,1,same
aeroplane,reconnaissance_plane,0.3162528,82.52,1,same
aeroplane,amphibious_aircraft,0.29260865,76.71,1,same
aeroplane,bomber,0.25010687,76.42,1,same
aeroplane,propeller_plane,0.34010366,69.04,1,same
aeroplane,seaplane,0.264793,51.66,1,same
aeroplane,attack_aircraft,0.24579711,45.07,1,same
aeroplane,fighter_aircraft,0.18544143,38.6,1,same
aeroplane,hangar_queen,0.27625006,35.16,1,same
aeroplane,hydroplane,0.12467134,32.89,1,same
aeroplane,fighter,0.14539559,22.35,2,bird
aeroplane,monoplane,0.15117455,15.16,3,bird
aeroplane,biplane,0.113457076,3.01,8,bird
aeroplane,amphibian,0.087549776,2.92,8,bird
