label,synonym,attnMap,sim_score,position,first
bicycle,mountain_bike,0.2739137,99.22,1,same
bicycle,all-terrain_bike,0.28925002,98.97,1,same
bicycle,push-bike,0.30286926,98.68,1,same
bicycle,tandem,0.30177426,98.29,1,same
bicycle,safety_bicycle,0.36897746,98.24,1,same
bicycle,safety_bike,0.33766472,96.83,1,same
bicycle,bicycle-built-for-two,0.36124337,96.58,1,same
bicycle,tandem_bicycle,0.3853779,95.75,1,same
bicycle,unicycle,0.25176415,95.56,1,same
bicycle,bicycle,0.3928521,94.19,1,same
bicycle,ordinary_bicycle,0.3710703,93.16,1,same
bicycle,bike,0.37804708,88.72,1,same
bicycle,cycle,0.2922858,87.6,1,same
bicycle,velocipede,0.31195903,86.91,1,same
bicycle,backpedal,0.12387917,56.64,1,same
bicycle,wheeled_vehicle,0.1757181,50.05,1,same
bicycle,ride,0.20853029,44.6,1,same
bicycle,pedal,0.13397108,21.51,2,person
bicycle,wheel,0.13509968,7.5,4,person
bicycle,off-roader,0.087574765,7.23,4,person
bicycle,ordinary,0.121263,2.87,7,person
