label,synonym,attnMap,sim_score,position,first
car,sport_utility_vehicle,0.15932117,99.66,1,same
car,club_car,0.12713215,99.66,1,same
car,compact_car,0.2124232,99.56,1,same
car,used-car,0.23734006,99.37,1,same
car,electric_automobile,0.21584518,99.32,1,same
car,electric_car,0.24182782,99.07,1,same
car,hatchback,0.1898582,98.97,1,same
car,automotive_vehicle,0.20635346,98.97,1,same
car,secondhand_car,0.21216851,98.93,1,same
car,subcompact_car,0.16883132,98.88,1,same
car,beach_wagon,0.18573819,98.58,1,same
car,prowl_car,0.21380025,98.49,1,same
car,estate_car,0.24047174,98.24,1,same
car,minicar,0.15548965,98.05,1,same
car,touring_car,0.15359688,97.85,1,same
car,wheeled_vehicle,0.11362873,97.71,1,same
car,pace_car,0.13572277,97.61,1,same
car,gas_guzzler,0.16566825,97.41,1,same
car,sport_car,0.2104176,97.27,1,same
car,automobile,0.22251408,96.73,1,same
car,mail_car,0.12225223,96.29,1,same
car,sedan,0.20912254,95.75,1,same
car,limousine,0.19116223,94.53,1,same
car,car,0.23519865,94.48,1,same
car,motor_vehicle,0.112705566,94.38,1,same
car,cabin_car,0.16708878,94.14,1,same
car,squad_car,0.20308271,93.95,1,same
car,minivan,0.19520928,93.9,1,same
car,subcompact,0.1320703,93.31,1,same
car,lounge_car,0.1788213,93.21,1,same
car,racing_car,0.1663706,93.12,1,same
car,cab,0.22565386,93.02,1,same
car,taxicab,0.22623764,92.82,1,same
car,tourer,0.078148276,92.04,1,same
car,sports_car,0.22423498,91.8,1,same
car,race_car,0.1429822,90.67,1,same
car,SUV,0.17513849,89.99,1,same
car,patrol_car,0.19982567,89.84,1,same
car,motorcar,0.14239338,89.6,1,same
car,hot-rod,0.0955136,88.04,1,same
car,stock_car,0.13225114,87.84,1,same
car,jalopy,0.11345711,87.35,1,same
car,hot_rod,0.086771995,87.35,1,same
car,taxi,0.18596846,86.47,1,same
car,limo,0.18382035,86.47,1,same
car,auto,0.15834698,85.89,1,same
car,passenger_car,0.1591638,84.91,1,same
car,two-seater,0.13240327,83.06,1,same
car,sport_utility,0.08888202,82.62,1,same
car,convertible,0.19698285,80.71,1,same
car,cruiser,0.120722644,79.49,1,same
car,station_wagon,0.12462583,79.25,1,same
car,police_car,0.22783266,77.34,1,same
car,loaner,0.10834398,76.51,1,same
car,runabout,0.092023425,76.51,1,same
car,racer,0.04876195,75.1,1,same
car,coupe,0.12569149,75.1,1,same
car,police_cruiser,0.17502283,70.17,1,same
car,beach_waggon,0.1943064,67.82,1,same
car,luggage_van,0.10982781,67.14,1,same
car,hardtop,0.15630096,61.38,1,same
car,wagon,0.06464206,61.04,1,same
car,slip_carriage,0.044021726,56.49,1,same
car,guard's_van,0.11493652,56.1,1,same
car,van,0.19731623,48.32,1,same
car,phaeton,0.120536976,41.36,1,same
car,S.U.V.,0.04612742,41.36,1,same
car,slip_coach,0.05676133,31.64,2,motorbike
car,compact,0.09734715,31.3,2,motorbike
car,electric,0.10114601,29.64,2,motorbike
car,jeep,0.10309083,29.64,2,motorbike
car,Stanley_Steamer,0.049493693,27.1,2,motorbike
car,carriage,0.025218341,25.59,2,motorbike
car,baggage_car,0.023940217,24.41,2,motorbike
car,roadster,0.21151632,24.41,2,motorbike
car,hack,0.102364026,22.45,2,motorbike
car,Model_T,0.0943021,21.39,2,motorbike
car,freight_car,0.038771305,15.14,2,motorbike
car,horseless_carriage,0.04066968,14.54,2,motorbike
car,gondola,0.054600503,14.36,2,motorbike
car,heap,0.04661788,14.16,3,motorbike
car,waggon,0.050278634,12.03,3,motorbike
car,elevator_car,0.09192638,9.76,4,motorbike
car,railway_car,0.048255645,8.35,4,motorbike
car,ambulance,0.077283055,6.62,4,motorbike
car,cable_car,0.07298704,5.55,4,motorbike
car,tender,0.054054517,4.93,4,motorbike
car,handcar,0.043240957,4.79,4,motorbike
car,machine,0.077758096,4.72,4,motorbike
car,railroad_car,0.058403254,4.25,4,motorbike
car,bus,0.13274136,3.39,4,motorbike
car,saloon,0.044846915,3.29,5,motorbike
car,coach,0.08761376,2.51,6,motorbike
car,caboose,0.08112752,2.09,6,motorbike
car,railcar,0.03665041,1.23,6,motorbike
car,landrover,0.067211054,0.94,7,motorbike
car,station_waggon,0.045542326,0.93,7,motorbike
car,compartment,0.044207387,0.74,9,motorbike
