label,synonym,attnMap,sim_score,position,first
cat,big_cat,0.24792814,99.56,1,same
cat,Felis_domesticus,0.33733886,95.75,1,same
cat,domestic_cat,0.2816173,95.12,1,same
cat,felid,0.3103871,93.46,1,same
cat,true_cat,0.3916488,93.26,1,same
cat,Felis_catus,0.35672933,93.16,1,same
cat,king_of_beasts,0.20594865,93.07,1,same
cat,kat,0.2402942,92.29,1,same
cat,cat,0.3838508,89.31,1,same
cat,CAT,0.3838508,89.31,1,same
cat,rumormonger,0.123688385,89.31,1,same
cat,rumourmonger,0.12095665,87.74,1,same
cat,adult_male,0.13451679,87.6,1,same
cat,Felis_onca,0.30695713,86.13,1,same
cat,tiglon,0.13663797,86.13,1,same
cat,feline,0.37856814,85.99,1,same
cat,chuck,0.02898055,79.3,1,same
cat,upchuck,0.059012126,76.61,1,same
cat,house_cat,0.35286516,74.32,1,same
cat,retch,0.14683199,72.51,1,same
cat,puke,0.18515413,70.9,1,same
cat,saber-toothed_tiger,0.15519385,69.92,1,same
cat,regurgitate,0.20580249,67.92,1,same
cat,chetah,0.13924278,67.58,1,same
cat,X-raying,0.15603387,66.55,1,same
cat,barf,0.2130673,66.21,1,same
cat,excitant,0.25783888,65.82,1,same
cat,quat,0.108358584,64.4,1,same
cat,cat-o'-nine-tails,0.18223159,62.6,1,same
cat,cast,0.11471562,61.87,1,same
cat,vomit_up,0.27483863,60.74,1,same
cat,be_sick,0.14493382,59.62,1,same
cat,egest,0.15116093,58.5,1,same
cat,adult_female,0.098829776,58.15,1,same
cat,wildcat,0.23089369,55.81,1,same
cat,man,0.09665979,54.69,1,same
cat,gossiper,0.20114116,53.91,1,same
cat,gossip,0.21020268,53.52,1,same
cat,excrete,0.24279772,50.39,1,same
cat,eliminate,0.13101496,48.83,1,same
cat,computerized_axial_tomography,0.058249988,48.05,1,same
cat,guy,0.11910937,48.05,1,same
cat,Panthera_uncia,0.19550613,45.34,1,same
cat,qat,0.13855147,45.34,1,same
cat,gossipmonger,0.1882525,44.95,1,same
cat,vomit,0.24119662,44.95,1,same
cat,trounce,0.08522002,43.77,1,same
cat,sick,0.1918853,43.77,1,same
cat,ounce,0.18205354,43.77,1,same
cat,panther,0.19872062,43.41,1,same
cat,computerized_tomography,0.09213696,43.02,1,same
cat,spue,0.08288713,41.87,1,same
cat,sabertooth,0.20472473,41.48,1,same
cat,purge,0.32044193,37.38,1,same
cat,strap,0.088830784,36.67,1,same
cat,bozo,0.15961452,36.67,1,same
cat,regorge,0.16081432,33.81,1,same
cat,slash,0.070530616,33.11,1,same
cat,lather,0.09588338,33.11,1,same
cat,computed_tomography,0.08644621,32.76,1,same
cat,computed_axial_tomography,0.04838691,30.74,1,same
cat,woman,0.049177393,30.74,1,same
cat,disgorge,0.15292658,30.4,1,same
cat,hombre,0.068662144,26.59,2,person
cat,X-radiation,0.1515077,26.59,2,person
cat,khat,0.2598992,25.39,2,person
cat,stimulant,0.17920771,24.8,2,person
cat,CT,0.03726842,24.51,2,person
cat,newsmonger,0.11745907,23.94,2,person
cat,tigon,0.18330832,23.94,2,person
cat,Panthera_onca,0.2132132,23.38,2,person
cat,liger,0.13899206,23.1,2,person
cat,lion,0.12770766,22.55,2,person
cat,pass,0.1603967,22.27,2,person
cat,flog,0.041438907,19.93,2,person
cat,Panthera_leo,0.18389764,18.96,2,person
cat,stimulant_drug,0.23696761,17.55,3,person
cat,spew,0.130876,15.71,3,person
cat,honk,0.062816456,14.61,3,person
cat,tiger,0.22926399,12.94,3,person
cat,throw_up,0.13927424,10.09,3,person
cat,sod,0.15098755,9.81,3,person
cat,Acinonyx_jubatus,0.12657116,6.9,4,person
cat,Panthera_tigris,0.17329857,4.92,5,person
cat,welt,0.08405592,4.3,5,person
cat,whip,0.09944703,4.08,5,person
cat,Panthera_pardus,0.18985386,2.62,8,person
cat,lash,0.13942207,2.11,8,person
cat,tracked_vehicle,0.13126315,1.73,9,person
cat,snow_leopard,0.1877682,1.51,10,person
cat,African_tea,0.11308922,0.42,20,person
cat,jaguar,0.228806,0.27,20,person
cat,Arabian_tea,0.117606126,0.14,20,person
cat,leopard,0.1710121,0.13,20,person
cat,cheetah,0.13408656,0.06,20,person
cat,Caterpillar,0.19334917,0.06,20,person
