label,synonym,attnMap,sim_score,position,first
cow,heifer,0.24021347,99.71,1,same
cow,oxen,0.25786906,99.51,1,same
cow,moo-cow,0.20556119,99.22,1,same
cow,cattle,0.26397336,98.78,1,same
cow,Bos_taurus,0.07787742,98.24,1,same
cow,cows,0.29354504,97.85,1,same
cow,cow,0.24032809,97.61,1,same
cow,springing_cow,0.17541885,94.82,1,same
cow,buffalo,0.12941794,72.85,1,same
cow,placental,0.080801204,66.6,1,same
cow,placental_mammal,0.08864167,54.0,1,same
cow,springer,0.09301047,19.25,2,sheep
cow,unpleasant_woman,0.17745359,16.94,2,sheep
cow,disagreeable_woman,0.107017994,9.04,3,sheep
cow,eutherian,0.08260016,6.98,4,sheep
cow,kine,0.050738096,5.77,4,sheep
cow,eutherian_mammal,0.097181655,5.69,4,sheep
cow,overawe,0.1725466,5.44,4,sheep
cow,awe,0.19878832,5.2,4,sheep
