label,synonym,attnMap,sim_score,position,first
driver,tailgater,0.16207963,59.56,1,same
driver,automobilist,0.25525483,45.29,2,car
driver,automobile_driver,0.20345749,43.07,2,car
driver,owner-driver,0.19192289,41.86,2,car
driver,designated_driver,0.11152224,41.76,2,car
driver,motorist,0.17719954,36.13,2,car
driver,hack-driver,0.17816186,24.53,2,car
driver,speed_demon,0.107171714,23.15,2,car
driver,racer,0.048196897,14.29,2,car
driver,test_driver,0.16851388,11.67,2,car
driver,hack_driver,0.16318877,11.25,2,car
driver,kerb_crawler,0.102226384,10.03,2,car
driver,driver,0.16438308,9.62,2,car
driver,road_hog,0.11693039,8.05,2,car
driver,livery_driver,0.09365291,7.92,2,car
driver,cabby,0.15158129,7.57,2,car
driver,chauffeur,0.14214905,5.55,2,car
driver,golf_player,0.09574673,4.1,2,car
driver,utility,0.070868336,3.72,2,car
driver,cabdriver,0.16409715,3.63,2,car
driver,waggoner,0.04644103,2.85,3,car
driver,speeder,0.09476361,2.77,3,car
driver,service_program,0.069395274,2.32,3,car
driver,utility_program,0.0673634,2.12,3,car
driver,manipulator,0.045806456,1.93,3,car
driver,device_driver,0.12204021,1.77,3,car
driver,lasher,0.036463235,1.58,3,car
driver,golfer,0.116947226,1.42,3,car
driver,taxidriver,0.16940288,1.39,3,car
driver,teamster,0.078723766,1.26,3,car
driver,race_driver,0.09293235,1.19,3,car
driver,wagoner,0.07012155,1.17,3,car
driver,coachman,0.0709361,0.91,3,car
driver,honker,0.07467724,0.67,5,car
driver,trucker,0.10548651,0.58,5,car
driver,truck_driver,0.12777674,0.53,5,car
driver,taximan,0.13271259,0.47,5,car
driver,roadhog,0.11989163,0.34,5,car
driver,bus_driver,0.118183725,0.33,5,car
driver,charioteer,0.05457201,0.31,5,car
driver,linksman,0.0130131,0.23,5,car
driver,busman,0.023818517,0.18,6,car
driver,operator,0.05296565,0.12,7,car
driver,worker,0.100126885,0.08,7,car
driver,number_one_wood,0.03442199,0.06,8,car
driver,wood,0.030273374,0.02,17,car
driver,cabman,0.09103433,0.01,20,car
driver,mahout,0.030076453,0.0,21,car
