label,synonym,attnMap,sim_score,position,first
horse,vaulting_horse,0.53415364,99.95,1,same
horse,gymnastic_horse,0.47209492,99.9,1,same
horse,polo_pony,0.48924625,99.85,1,same
horse,riding_horse,0.55696934,99.85,1,same
horse,race_horse,0.71237713,99.71,1,same
horse,male_horse,0.49606442,99.51,1,same
horse,post-horse,0.40395784,99.41,1,same
horse,mare,0.43124384,99.37,1,same
horse,harness_horse,0.5092462,99.32,1,same
horse,stalking-horse,0.5587489,99.32,1,same
horse,steeplechaser,0.44189832,99.32,1,same
horse,equid,0.475014,99.17,1,same
horse,saddle_horse,0.45515293,99.17,1,same
horse,racehorse,0.7427968,99.12,1,same
horse,Equus_caballus,0.45574546,99.12,1,same
horse,pommel_horse,0.46754926,99.12,1,same
horse,post_horse,0.3817156,99.07,1,same
horse,female_horse,0.52030087,98.97,1,same
horse,workhorse,0.35382333,98.88,1,same
horse,palomino,0.22075221,98.73,1,same
horse,equine,0.4555736,98.49,1,same
horse,side_horse,0.34472018,98.34,1,same
horse,horse,0.43460912,98.24,1,same
horse,long_horse,0.3931222,97.61,1,same
horse,mount,0.21679297,97.56,1,same
horse,horse_cavalry,0.55514514,96.92,1,same
horse,pony,0.24246028,96.92,1,same
horse,cavalry,0.43835816,96.53,1,same
horse,wild_horse,0.25991017,94.58,1,same
horse,remount,0.16369696,91.11,1,same
horse,stable_companion,0.4489941,89.6,1,same
horse,stablemate,0.5198743,88.67,1,same
horse,dawn_horse,0.44442087,87.21,1,same
horse,hack,0.19500194,86.13,1,same
horse,knight,0.09260098,84.33,1,same
horse,sawhorse,0.122036345,83.94,1,same
horse,high_stepper,0.19183667,83.06,1,same
horse,nag,0.109596536,82.86,1,same
horse,pinto,0.023059845,80.03,1,same
horse,roan,0.17724335,79.0,1,same
horse,stepper,0.16873412,78.47,1,same
horse,gymnastic_apparatus,0.22974011,77.93,1,same
horse,liver_chestnut,0.2857417,77.93,1,same
horse,framework,0.083758645,67.53,1,same
horse,provide,0.059449937,65.77,1,same
horse,military_personnel,0.12613721,50.68,1,same
horse,bangtail,0.111564405,50.68,1,same
horse,exerciser,0.09415185,47.58,1,same
horse,gee-gee,0.09976058,38.79,1,same
horse,pacer,0.1538061,33.06,1,same
horse,sawbuck,0.08705765,32.35,1,same
horse,soldiery,0.07747487,31.69,1,same
horse,chess_piece,0.10884693,30.0,1,same
horse,bay,0.095064685,28.71,1,same
horse,cater,0.097265415,28.71,1,same
horse,poster,0.04512722,26.22,1,same
horse,supply,0.09601211,23.6,1,same
horse,chessman,0.053555574,20.13,2,person
horse,plug,0.07953184,14.58,2,person
horse,protohippus,0.056980826,13.9,2,person
horse,buck,0.107392415,12.73,2,person
horse,mesohippus,0.067868955,11.1,2,person
horse,troops,0.087607585,9.92,2,person
horse,eohippus,0.101364575,9.92,2,person
horse,sorrel,0.050322887,8.86,2,person
horse,ply,0.039880738,8.48,2,person
horse,chestnut,0.0930669,7.96,2,person
horse,jade,0.13079098,2.97,11,person
horse,trestle,0.014183309,2.75,12,person
