label,synonym,attnMap,sim_score,position,first
person,driveller,0.10344015,54.42,1,same
person,freewheeler,0.109088026,52.7,1,same
person,learner,0.11519132,31.46,2,car
person,cross-dresser,0.0779839,21.73,2,car
person,termer,0.07930855,18.95,2,car
person,handicapped_person,0.07883419,18.3,2,car
person,huddler,0.09360513,17.35,2,car
person,registrant,0.07938835,16.5,2,car
person,venturer,0.017293567,13.25,2,car
person,transfer,0.08118703,12.5,2,car
person,misogamist,0.07108603,11.17,2,car
person,amateur,0.055131115,9.23,2,car
person,applicant,0.11595441,9.14,2,car
person,victim,0.09004845,9.09,2,car
person,transsexual,0.06043213,8.68,2,car
person,insured_person,0.14426921,8.57,2,car
person,autodidact,0.09009717,8.52,2,car
person,recoverer,0.029158542,8.03,2,car
person,sex_object,0.058644406,7.66,2,car
person,transexual,0.05359924,7.58,2,car
person,Taurus,0.07517966,7.43,2,car
person,married,0.10806387,7.3,2,car
person,pussycat,0.06878221,7.22,2,car
person,female,0.08675196,6.9,2,car
person,propositus,0.04336488,6.61,2,car
person,socializer,0.10976849,6.55,2,car
person,mollycoddler,0.08174728,6.43,2,car
person,debitor,0.044871476,6.32,2,car
person,baby_boomer,0.048438586,6.02,2,car
person,female_person,0.08516885,5.6,2,car
person,transvestite,0.09513393,5.34,2,car
person,insured,0.14091441,5.15,2,car
person,imitator,0.103864156,5.05,2,car
person,spousal_equivalent,0.10549522,4.77,2,car
person,partner,0.0926561,4.7,2,car
person,persona_non_grata,0.103597775,4.7,2,car
person,survivalist,0.054967143,4.65,2,car
person,traveller,0.08774399,4.63,2,car
person,thrower,0.047029734,4.53,2,car
person,contestant,0.04931818,4.19,2,car
person,romper,0.21076944,4.18,2,car
person,domestic_partner,0.10614823,3.79,2,car
person,scrapper,0.11303995,3.74,2,car
person,yearner,0.09387286,3.65,2,car
person,White,0.057729226,3.56,2,car
person,vanisher,0.0069462303,3.42,2,car
person,image,0.070845574,3.41,2,car
person,unfortunate_person,0.09563171,3.41,2,car
person,sex_symbol,0.06545921,3.39,2,car
person,relation,0.11615337,3.24,2,car
person,indweller,0.0099856,3.22,2,car
person,modern,0.09784485,3.15,2,car
person,suspect,0.11047609,3.12,2,car
person,nonparticipant,0.038497046,3.09,3,car
person,straight_person,0.10958453,3.06,3,car
person,heterosexual_person,0.07322672,3.04,3,car
person,White_person,0.08049256,3.04,3,car
person,gatekeeper,0.077773206,3.01,3,car
person,blogger,0.035999894,2.98,3,car
person,appointee,0.051182367,2.96,3,car
person,active,0.076715454,2.96,3,car
person,homophile,0.07541458,2.95,3,car
person,extravert,0.08509178,2.93,3,car
person,nonpartisan,0.09889217,2.86,3,car
person,maimer,0.058239486,2.83,3,car
person,deceased,0.052164678,2.83,3,car
person,applied_scientist,0.060219374,2.77,3,car
person,fugitive,0.09292081,2.74,3,car
person,squirmer,0.070189,2.66,3,car
person,user,0.045230627,2.62,3,car
person,crawler,0.17440905,2.57,3,car
person,mover_and_shaker,0.09619869,2.53,3,car
person,expectorator,0.005851556,2.5,3,car
person,advocate,0.07927968,2.43,3,car
person,segregate,0.097787276,2.37,3,car
person,adoptee,0.06674406,2.33,3,car
person,balker,0.07360796,2.32,3,car
person,adult,0.054625645,2.32,3,car
person,coddler,0.01269899,2.3,3,car
person,applier,0.045221616,2.28,3,car
person,significant_other,0.076946884,2.27,3,car
person,beguiler,0.02616917,2.26,3,car
person,birth,0.06695386,2.24,3,car
person,boomer,0.0741403,2.22,3,car
person,second_person,0.055900637,2.17,3,car
person,grunter,0.008618911,2.11,3,car
person,optimist,0.08007907,2.11,3,car
person,follower,0.11733234,2.06,3,car
person,pamperer,0.05942367,2.05,3,car
person,mangler,0.061891,2.05,3,car
person,deceased_person,0.042419996,2.05,3,car
person,redhead,0.08275116,2.05,3,car
person,Slav,0.0795746,2.03,3,car
person,individual,0.08363494,2.01,3,car
person,free_spirit,0.054665912,1.95,3,car
