label,synonym,attnMap,sim_score,position,first
person,pussycat,0.20614898,96.12,1,same
person,six-footer,0.042790048,80.69,1,same
person,scourge,0.13596301,78.44,1,same
person,hugger,0.16573326,74.23,1,same
person,victim,0.19619024,64.33,1,same
person,domestic_partner,0.163769,61.28,1,same
person,terror,0.26350483,57.24,1,same
person,large_person,0.043421194,52.69,1,same
person,malcontent,0.08673886,52.56,1,same
person,buster,0.0760897,52.55,1,same
person,captor,0.16698411,52.23,1,same
person,manipulator,0.13441738,51.87,1,same
person,copycat,0.33164024,51.47,1,same
person,spousal_equivalent,0.11891075,51.01,1,same
person,squirmer,0.06582523,49.92,1,same
person,mollycoddler,0.072468325,48.53,1,same
person,threat,0.16312055,47.81,2,cat
person,noncompliant,0.10056757,46.93,2,cat
person,toucher,0.11580291,46.29,2,cat
person,suspect,0.24463758,45.52,2,cat
person,grinner,0.2441402,43.73,2,cat
person,belligerent,0.16354074,42.43,2,cat
person,unfortunate,0.23926517,42.16,2,cat
person,relation,0.112335674,41.9,2,cat
person,mutilator,0.19084322,40.75,2,cat
person,essayer,0.037003323,40.65,2,cat
person,socializer,0.159407,40.6,2,cat
person,good_guy,0.08092345,40.46,2,cat
person,adversary,0.103029154,40.11,2,cat
person,second-rater,0.11954368,39.96,2,cat
person,third-rater,0.15011849,39.96,2,cat
person,creature,0.13402472,38.05,2,cat
person,charmer,0.12247576,37.86,2,cat
person,totemist,0.07437131,37.47,2,cat
person,partner,0.10086056,37.39,2,cat
person,yawner,0.32834408,37.2,2,cat
person,birth,0.18894754,36.83,2,cat
person,abomination,0.29488218,36.25,2,cat
person,snuffler,0.08177845,36.09,2,cat
person,antagonist,0.06419246,35.77,2,cat
person,sniffler,0.11846932,35.02,2,cat
person,extrovert,0.117435046,34.45,2,cat
person,significant_other,0.120708846,34.15,2,cat
person,nonparticipant,0.07705862,33.98,2,cat
person,winker,0.14427136,33.52,2,cat
person,look-alike,0.2933653,33.19,2,cat
person,heterosexual_person,0.19995424,32.56,2,cat
person,muscle-builder,0.06096098,32.37,2,cat
person,owner,0.12836473,31.94,2,cat
person,needer,0.0,31.89,2,cat
person,proponent,0.052602053,31.49,2,cat
person,scratcher,0.22965647,31.13,2,cat
person,amateur,0.090934105,30.78,2,cat
person,hater,0.09273821,30.75,2,cat
person,swayer,0.0376168,30.55,2,cat
person,wuss,0.16395044,30.25,2,cat
person,success,0.19333142,30.16,2,cat
person,creeper,0.1296529,30.01,2,cat
person,unfortunate_person,0.21132879,29.55,2,cat
person,biter,0.106185466,29.44,2,cat
person,sneezer,0.09684318,29.24,2,cat
person,appointee,0.15779512,29.13,2,cat
person,baldpate,0.083003916,28.83,2,cat
person,succeeder,0.16479102,28.72,2,cat
person,stigmatic,0.1552718,28.66,2,cat
person,complexifier,0.14208427,28.32,2,cat
person,party,0.26421717,27.77,2,cat
person,reliever,0.02820111,27.52,2,cat
person,stifler,0.07523857,27.39,2,cat
person,masturbator,0.13684504,26.9,2,cat
person,third_person,0.19115283,26.86,2,cat
person,substance_abuser,0.21598604,26.79,2,cat
person,adoptee,0.111697,26.63,2,cat
person,controversialist,0.08870963,26.28,2,cat
person,muscle_builder,0.075474575,26.04,2,cat
person,advisee,0.15896091,26.03,2,cat
person,slobberer,0.110863045,25.91,2,cat
person,huddler,0.045414444,25.43,2,cat
person,drooler,0.060020376,25.33,2,cat
person,simpleton,0.08691024,25.27,2,cat
person,spouse_equivalent,0.08239357,25.21,2,cat
person,applicant,0.09568988,25.16,2,cat
person,forgiver,0.12665866,25.12,2,cat
person,killer,0.099463336,24.99,2,cat
person,unperson,0.10857484,24.95,2,cat
person,orphan,0.121721804,24.79,2,cat
person,married,0.13501608,24.7,2,cat
person,survivor,0.1460157,24.66,2,cat
person,righthander,0.11239815,24.64,2,cat
person,image,0.13749748,24.48,2,cat
person,disentangler,0.22394747,24.17,2,cat
person,adult,0.09171048,24.13,2,cat
person,being,0.12298399,24.05,2,cat
person,yielder,0.05506013,23.88,2,cat
person,possessor,0.1065292,23.79,2,cat
person,imitator,0.13783012,23.73,2,cat
person,indweller,0.056493033,23.54,2,cat
person,yearner,0.17225245,23.43,2,cat
person,homophile,0.104732424,23.31,2,cat
person,maimer,0.053731594,23.07,2,cat
person,baulker,0.028151903,23.01,2,cat
person,sensualist,0.017098872,22.51,2,cat
person,appreciator,0.061601333,22.43,2,cat
person,survivalist,0.105444685,22.13,2,cat
person,musclebuilder,0.07158084,22.11,2,cat
person,battler,0.010384744,22.11,2,cat
person,baby_buster,0.054804154,21.94,2,cat
person,transfer,0.11821518,21.82,2,cat
person,expectorator,0.08882439,21.81,2,cat
person,propositus,0.17358917,21.76,2,cat
person,precursor,0.1285877,21.72,2,cat
person,good_person,0.11244042,21.51,2,cat
person,untier,0.071268365,21.47,2,cat
person,deceased,0.2245523,21.42,2,cat
person,departed,0.2113294,21.19,2,cat
person,mangler,0.1319486,21.1,2,cat
person,revenant,0.13105655,20.97,2,cat
person,modifier,0.015824784,20.93,2,cat
person,enjoyer,0.06624693,20.81,2,cat
person,muscleman,0.034141384,20.71,2,cat
person,nonmember,0.05254313,20.56,2,cat
person,creator,0.119173095,20.46,2,cat
person,friend,0.13902088,20.37,2,cat
person,second_person,0.17988378,20.12,2,cat
person,unwelcome_person,0.10849711,20.05,2,cat
person,loved_one,0.14052047,20.03,2,cat
person,stigmatist,0.15747909,19.88,2,cat
person,free_agent,0.06526559,19.72,2,cat
person,socialiser,0.01699242,19.49,2,cat
person,quester,0.066438176,19.26,2,cat
person,straight_person,0.22125219,19.19,2,cat
person,computer_user,0.064295515,19.12,2,cat
person,candidate,0.084688194,19.01,2,cat
person,innocent,0.110479824,18.96,2,cat
person,celebrator,0.19518471,18.89,2,cat
person,worldling,0.13723655,18.81,2,cat
person,slayer,0.057074286,18.78,2,cat
person,Leo,0.11832386,18.65,2,cat
person,persona_non_grata,0.16473961,18.56,2,cat
person,bod,0.048261195,18.39,2,cat
person,first-rater,0.1019905,18.24,2,cat
person,homunculus,0.13440764,17.96,2,cat
person,celebrater,0.23311839,17.86,2,cat
person,unraveller,0.077322744,17.76,2,cat
person,sex_object,0.17353803,17.59,2,cat
person,lover,0.087487996,17.59,2,cat
person,extravert,0.12985201,17.54,2,cat
person,expert,0.10305813,17.49,2,cat
person,active,0.08335775,17.47,2,cat
person,loose_cannon,0.07024264,17.47,2,cat
person,blogger,0.11770563,17.4,2,cat
person,tapper,0.079973884,17.37,2,cat
person,unusual_person,0.18340154,17.32,2,cat
person,pamperer,0.07799945,17.3,2,cat
person,saluter,0.11025295,17.2,2,cat
person,weakling,0.08969882,17.15,2,cat
person,peer,0.10186937,17.1,2,cat
person,smasher,0.14349687,17.03,2,cat
person,male,0.07108483,16.93,2,cat
person,heterosexual,0.14186794,16.79,2,cat
person,fugitive,0.17958288,16.77,2,cat
person,cross-dresser,0.13568251,16.69,2,cat
person,emotional_person,0.17281552,16.64,2,cat
person,balker,0.084162705,16.62,2,cat
person,nonperson,0.09792011,16.58,2,cat
person,cause,0.2190389,16.5,2,cat
person,dupe,0.104740776,16.44,2,cat
person,ouster,0.11239759,16.36,2,cat
person,transsexual,0.17891735,16.34,2,cat
person,coddler,0.03040224,16.31,2,cat
person,common_man,0.12086004,16.16,2,cat
person,gem,0.18276261,15.87,2,cat
person,bad_person,0.14458002,15.83,2,cat
person,waker,0.07880904,15.7,2,cat
person,bodybuilder,0.033186186,15.58,2,cat
person,player,0.0,15.57,2,cat
person,individual,0.08403365,15.54,2,cat
person,dissenter,0.04132684,15.52,2,cat
person,redheader,0.08833198,15.44,2,cat
person,wriggler,0.07157314,15.28,2,cat
person,segregate,0.11862152,15.26,2,cat
person,transexual,0.18305135,15.17,2,cat
person,attempter,0.17037359,15.12,2,cat
person,apprehender,0.12388496,15.07,2,cat
person,radical,0.077418596,15.03,2,cat
person,unraveler,0.1374877,14.99,2,cat
person,have,0.106319204,14.94,2,cat
person,dissident,0.102663256,14.89,2,cat
person,dweller,0.11673421,14.88,2,cat
person,longer,0.14685327,14.7,2,cat
person,White_person,0.18198626,14.69,2,cat
person,neglecter,0.06858132,14.62,2,cat
person,struggler,0.037572604,14.62,2,cat
person,bedfellow,0.046331387,14.61,2,cat
person,closer,0.12561089,14.61,2,cat
person,causal_agent,0.14296098,14.25,2,cat
person,technologist,0.10129216,14.0,2,cat
person,unskilled_person,0.12963177,13.97,2,cat
person,redhead,0.030437391,13.74,2,cat
person,personage,0.09505668,13.74,2,cat
person,sprawler,0.095832825,13.69,2,cat
person,censor,0.07734967,13.67,2,cat
person,abstinent,0.14033137,13.67,2,cat
person,middlebrow,0.16379292,13.66,2,cat
person,doubter,0.067598455,13.54,2,cat
person,defecator,0.11598271,13.51,2,cat
person,faddist,0.051047873,13.46,2,cat
person,Jew,0.15169454,13.39,2,cat
person,double,0.13355093,13.24,2,cat
person,aggregator,0.1437227,13.21,2,cat
person,deceased_person,0.26271045,13.12,2,cat
person,homo,0.1754038,13.1,2,cat
person,deaf_person,0.21133582,13.02,2,cat
person,pursuer,0.11166139,12.97,2,cat
person,testator,0.11065392,12.91,2,cat
person,dead_person,0.20767175,12.87,2,cat
person,form,0.11033361,12.86,2,cat
person,White,0.08962457,12.81,2,cat
person,drug_user,0.31922808,12.66,2,cat
person,voider,0.06730707,12.58,2,cat
person,combatant,0.066257216,12.53,2,cat
person,southpaw,0.04630996,12.47,2,cat
person,vanisher,0.10947528,12.45,2,cat
person,excuser,0.13089845,12.38,2,cat
person,nonpartisan,0.020852933,12.33,2,cat
person,mixed-blood,0.2383253,12.33,2,cat
person,visionary,0.15974735,12.27,2,cat
person,abator,0.094430424,12.24,2,cat
person,neutral,0.069644,12.2,2,cat
person,first_person,0.15394253,12.1,2,cat
person,surrenderer,0.06568085,12.05,2,cat
person,disputant,0.120942116,11.99,2,cat
person,percipient,0.19249132,11.95,2,cat
person,man,0.09664124,11.85,2,cat
person,bad_guy,0.10860238,11.84,2,cat
person,bereaved_person,0.12792094,11.72,2,cat
person,withholder,0.024249507,11.71,2,cat
person,dyslectic,0.1972716,11.68,2,cat
person,acquaintance,0.18448734,11.64,2,cat
person,user,0.108108625,11.56,2,cat
person,advocate,0.07188595,11.49,2,cat
person,best,0.15641317,11.45,2,cat
person,boomer,0.12887666,11.39,2,cat
person,grownup,0.074681796,11.38,2,cat
person,visually_impaired_person,0.17565855,11.33,2,cat
person,objector,0.1059852,11.27,2,cat
person,guesser,0.097080834,11.26,2,cat
person,mortal,0.138584,11.22,2,cat
person,termer,0.0062080226,11.1,2,cat
person,wanter,0.07805101,11.09,2,cat
person,undoer,0.07632197,11.06,2,cat
person,bereaved,0.10887784,11.05,2,cat
person,enrollee,0.02274179,11.03,2,cat
person,affiant,0.060774077,10.95,2,cat
person,debaser,0.11972342,10.92,2,cat
person,baby_boomer,0.028965432,10.88,2,cat
person,occultist,0.15533487,10.85,2,cat
person,nonworker,0.027180688,10.81,2,cat
person,ancient,0.16826805,10.79,2,cat
person,tyrant,0.063152194,10.78,2,cat
person,smiler,0.13616271,10.76,2,cat
person,spurner,0.035036303,10.71,2,cat
person,junior,0.08345957,10.64,2,cat
person,assessee,0.1227178,10.61,2,cat
person,inhabitant,0.06280133,10.57,2,cat
person,flesh,0.18640997,10.5,2,cat
person,gentile,0.048793398,10.4,2,cat
person,abjurer,0.09617483,10.36,2,cat
person,scholar,0.085189246,10.36,2,cat
person,scrapper,0.09124619,10.34,2,cat
person,misogamist,0.08622262,10.2,2,cat
person,self,0.074147716,10.19,2,cat
person,money_handler,0.15721026,10.14,2,cat
person,chooser,0.076626755,10.12,2,cat
person,homosexual,0.12313097,10.08,2,cat
person,fiduciary,0.12260522,9.78,2,cat
person,dribbler,0.0,9.7,2,cat
person,degrader,0.16539076,9.62,2,cat
person,public_relations_person,0.06037276,9.54,2,cat
person,topper,0.054725632,9.51,2,cat
person,mover_and_shaker,0.11726587,9.5,2,cat
person,tempter,0.121803835,9.48,2,cat
person,sentimentalist,0.09729942,9.47,2,cat
person,coward,0.103302956,9.43,2,cat
person,mediocrity,0.18577412,9.42,2,cat
person,smotherer,0.0,9.36,2,cat
person,mesomorph,0.090135425,9.33,2,cat
person,modern,0.17068163,9.21,2,cat
person,female,0.07575201,9.19,2,cat
person,acquirer,0.18660828,9.16,2,cat
person,match,0.16468443,9.12,2,cat
person,lefty,0.0,9.11,2,cat
person,common_person,0.14695387,9.03,2,cat
person,dead_soul,0.27033675,9.01,2,cat
person,demander,0.026784971,8.98,2,cat
person,onanist,0.07517831,8.97,2,cat
person,miracle_man,0.13102716,8.93,2,cat
person,changer,0.18352479,8.87,2,cat
person,autodidact,0.08673742,8.87,2,cat
person,shitter,0.14877355,8.75,2,cat
person,achiever,0.07852616,8.68,2,cat
person,nondrinker,0.08450127,8.66,2,cat
person,Virgin,0.21341318,8.64,2,cat
person,recoverer,0.08873551,8.58,2,cat
person,anti,0.0775207,8.48,2,cat
person,winner,0.13872111,8.47,2,cat
person,advocator,0.04544244,8.43,2,cat
person,knower,0.1092059,8.37,2,cat
person,nondescript,0.09709244,8.37,2,cat
person,thirster,0.07975807,8.29,2,cat
person,sloucher,0.062564984,8.26,2,cat
person,squint-eye,0.18803854,8.24,2,cat
person,admirer,0.1098178,8.24,2,cat
person,introvert,0.11508617,8.23,2,cat
person,debitor,0.10543964,8.18,2,cat
person,inexperienced_person,0.057199683,8.16,2,cat
person,red-header,0.09515682,8.15,2,cat
person,delayer,0.170079,8.13,2,cat
person,laugher,0.3696016,8.12,2,cat
person,relative,0.055155512,8.11,2,cat
person,contestant,0.05613201,8.07,2,cat
person,grunter,0.082080245,8.05,2,cat
