label,synonym,attnMap,sim_score,position,first
person,venturer,0.04508748,80.27,1,same
person,freewheeler,0.29140648,76.86,1,same
person,registrant,0.09206818,67.48,1,same
person,expectorator,0.06863357,58.79,1,same
person,grinner,0.29254317,54.2,1,same
person,active,0.11669063,52.64,1,same
person,grunter,0.08654537,52.64,1,same
person,driveller,0.1174392,49.12,1,same
person,doer,0.12979855,47.95,1,same
person,huddler,0.26211366,47.56,1,same
person,sport,0.1454719,47.17,1,same
person,learner,0.15457268,43.31,2,bicycle
person,right_hander,0.11542346,41.41,2,bicycle
person,quitter,0.0824439,41.02,2,bicycle
person,recoverer,0.109099105,39.53,2,bicycle
person,coddler,0.11919416,39.16,2,bicycle
person,struggler,0.12452348,38.4,2,bicycle
person,nonparticipant,0.08255158,35.13,2,bicycle
person,faller,0.15261923,30.32,2,bicycle
person,amateur,0.11552116,30.0,2,bicycle
person,hoper,0.08049597,29.35,2,bicycle
person,perspirer,0.045204427,28.71,2,bicycle
person,mangler,0.15080622,26.83,2,bicycle
person,indweller,0.04117511,26.51,2,bicycle
person,combatant,0.09310427,26.22,2,bicycle
person,weakling,0.17700452,24.73,2,bicycle
person,essayer,0.033233874,24.44,2,bicycle
person,maimer,0.13516149,24.16,2,bicycle
person,deliverer,0.24190994,23.03,2,bicycle
person,smasher,0.11549143,22.49,2,bicycle
person,pamperer,0.09736805,22.49,2,bicycle
person,searcher,0.058616973,22.2,2,bicycle
person,spurner,0.08174577,22.2,2,bicycle
person,success,0.28365135,21.41,2,bicycle
person,traveller,0.17866592,21.14,2,bicycle
person,swayer,0.0086480845,21.14,2,bicycle
person,passer,0.11667119,21.14,2,bicycle
person,termer,0.046156947,20.89,2,bicycle
person,soma,0.29081306,20.13,2,bicycle
person,baldpate,0.031714,19.87,2,bicycle
person,demander,0.113675825,19.38,2,bicycle
person,common_man,0.19365318,19.14,2,bicycle
person,saluter,0.07020018,18.9,2,bicycle
person,runaway,0.17637897,18.66,2,bicycle
person,opponent,0.07669026,18.42,2,bicycle
person,withholder,0.06912972,18.19,2,bicycle
person,smotherer,0.026079375,17.72,2,bicycle
person,voider,0.016686345,17.27,2,bicycle
person,male,0.13386472,17.27,2,bicycle
person,expert,0.10992164,16.61,2,bicycle
person,powderer,0.057330396,16.61,2,bicycle
person,player,0.03747774,16.61,2,bicycle
person,yielder,0.048100933,16.41,2,bicycle
person,laugher,0.34787428,16.19,2,bicycle
person,simpleton,0.11496194,15.98,2,bicycle
person,defecator,0.060925655,15.77,2,bicycle
person,junior,0.119117625,15.16,2,bicycle
person,contriver,0.045558665,14.76,2,bicycle
