label,synonym,attnMap,sim_score,position,first
person,farm_girl,0.17489763,51.81,1,same
person,tshatshke,0.051982153,6.52,2,cow
person,sweater_girl,0.09087671,6.24,2,cow
person,tsatske,0.044615667,5.63,2,cow
person,adult_female,0.057269648,5.55,2,cow
person,female,0.071340874,4.24,2,cow
person,soubrette,0.10816372,2.7,2,cow
person,tchotchkeleh,0.03887993,2.54,2,cow
person,chachka,0.07246518,2.46,2,cow
person,mother's_daughter,0.16418786,2.28,2,cow
person,working_girl,0.05941992,1.73,2,cow
person,female_offspring,0.09767946,1.63,3,cow
person,missy,0.09545467,1.61,3,cow
person,valley_girl,0.112030715,1.25,3,cow
person,tomboy,0.03310647,1.22,3,cow
person,gamine,0.13709772,1.16,3,cow
person,fille,0.06685954,1.07,3,cow
person,woman,0.10499981,0.73,3,cow
person,romp,0.076727614,0.7,3,cow
person,lady_friend,0.039233945,0.68,3,cow
person,Gibson_girl,0.026997166,0.66,3,cow
person,young_lady,0.035710007,0.65,3,cow
person,queen_of_the_May,0.058112282,0.63,3,cow
person,wench,0.026328385,0.63,3,cow
person,gal,0.06167691,0.58,3,cow
person,belle,0.039053697,0.52,3,cow
person,girl,0.04346191,0.47,3,cow
person,hoyden,0.043501876,0.47,3,cow
person,colleen,0.0128255505,0.44,3,cow
person,daughter,0.061573002,0.37,4,cow
person,female_person,0.08041259,0.37,4,cow
person,May_queen,0.100618765,0.35,4,cow
person,young_woman,0.05874527,0.35,4,cow
person,jeune_fille,0.113713846,0.34,4,cow
person,maiden,0.03508171,0.33,4,cow
person,mill-girl,0.07688037,0.32,4,cow
person,Scout,0.06893549,0.3,4,cow
person,sister,0.083483085,0.26,4,cow
person,young_girl,0.031263825,0.23,4,cow
person,girlfriend,0.10455848,0.22,4,cow
person,skirt,0.008892347,0.2,4,cow
person,female_child,0.068247765,0.2,4,cow
person,babe,0.06285588,0.2,4,cow
person,lass,0.03035257,0.2,4,cow
person,chit,0.087613,0.19,4,cow
person,bimbo,0.20484428,0.15,4,cow
person,baby,0.15967785,0.14,4,cow
person,miss,0.14685835,0.13,4,cow
person,dame,0.085298896,0.13,4,cow
person,lover,0.07240719,0.11,4,cow
person,schoolgirl,0.098948285,0.1,4,cow
person,party_girl,0.0430072,0.1,4,cow
person,moppet,0.016068839,0.09,4,cow
person,shop_girl,0.10598755,0.08,4,cow
person,peri,0.094958745,0.08,4,cow
person,sexpot,0.19545053,0.06,4,cow
person,tchotchke,0.09270834,0.05,5,cow
person,maid,0.056357365,0.05,5,cow
person,ring_girl,0.053048655,0.05,4,cow
person,Campfire_Girl,0.028241377,0.05,4,cow
person,little_girl,0.0414625,0.03,5,cow
person,rosebud,0.12173669,0.03,5,cow
person,lassie,0.020537436,0.02,5,cow
person,chick,0.11572626,0.01,7,cow
person,sex_bomb,0.20766759,0.01,6,cow
person,flower_girl,0.035761517,0.01,7,cow
person,doll,0.15959033,0.0,10,cow
person,sex_kitten,0.15402013,0.0,14,cow
person,flapper,0.06677503,0.0,13,cow
person,bird,0.09861522,0.0,10,cow
