label,synonym,attnMap,sim_score,position,first
person,Taurus,0.060293913,32.28,2,cow
person,Bull,0.1581787,29.61,2,cow
person,brunet,0.081258245,11.53,2,cow
person,redhead,0.088880666,10.03,2,cow
person,Aries,0.07248043,7.87,2,cow
person,six-footer,0.11036177,7.12,2,cow
person,Ram,0.10150553,6.24,2,cow
person,ladino,0.076617315,5.39,2,cow
person,Capricorn,0.09691058,4.93,2,cow
person,transfer,0.13347504,4.44,2,cow
person,birth,0.089967944,4.37,2,cow
person,female,0.071340874,4.24,2,cow
person,indigen,0.15295762,4.0,2,cow
person,applicant,0.07507484,3.82,2,cow
person,adoptee,0.12563062,3.77,2,cow
person,essayer,0.09390599,3.55,2,cow
person,saluter,0.05750609,3.34,2,cow
person,Goat,0.1958647,3.0,2,cow
person,voider,0.04496198,2.91,2,cow
person,mestizo,0.059916116,2.87,2,cow
person,deliverer,0.025531745,2.74,2,cow
person,look-alike,0.28599048,2.5,2,cow
person,yielder,0.07860062,2.46,2,cow
person,nonparticipant,0.04012309,2.46,2,cow
person,sweater,0.1066103,2.39,2,cow
person,welcomer,0.10686382,2.39,2,cow
person,baldpate,0.047274686,2.32,2,cow
person,contriver,0.07953123,2.28,2,cow
person,greeter,0.04107417,2.18,2,cow
person,individual,0.051680457,2.15,2,cow
person,large_person,0.160655,2.08,2,cow
person,imitator,0.0773137,2.05,2,cow
person,mollycoddler,0.07764633,1.81,2,cow
person,White,0.0970367,1.79,2,cow
person,indweller,0.07240123,1.68,2,cow
person,noncompliant,0.16543218,1.68,2,cow
person,biter,0.06962619,1.61,3,cow
person,interpreter,0.059784293,1.61,3,cow
person,adult,0.053732455,1.56,3,cow
person,learner,0.07821527,1.56,3,cow
person,nonworker,0.03174719,1.53,3,cow
person,native,0.074845806,1.53,3,cow
person,posturer,0.064203665,1.51,3,cow
person,Israelite,0.08454036,1.49,3,cow
person,owner,0.17647323,1.49,3,cow
person,neighbor,0.08621933,1.44,3,cow
person,nonmember,0.061129507,1.42,3,cow
person,passer,0.047843356,1.38,3,cow
person,slider,0.078542784,1.38,3,cow
person,venturer,0.13314213,1.35,3,cow
person,propositus,0.08215998,1.35,3,cow
person,blackamoor,0.0656353,1.33,3,cow
person,partner,0.022955056,1.31,3,cow
person,hugger,0.06490678,1.29,3,cow
person,cross-dresser,0.06453433,1.29,3,cow
person,onanist,0.020046253,1.29,3,cow
person,nonreligious_person,0.071743526,1.29,3,cow
person,extrovert,0.08519386,1.27,3,cow
person,coddler,0.0600426,1.27,3,cow
person,have,0.036501873,1.25,3,cow
person,enrollee,0.03880739,1.24,3,cow
person,vanisher,0.072261564,1.22,3,cow
person,orphan,0.08729091,1.22,3,cow
person,recoverer,0.046976194,1.2,3,cow
person,groaner,0.13783947,1.2,3,cow
person,ethnic,0.12228764,1.18,3,cow
person,appreciator,0.12474303,1.18,3,cow
person,inhabitant,0.057871424,1.18,3,cow
person,totemist,0.064223334,1.14,3,cow
person,antagonist,0.061152633,1.13,3,cow
person,player,0.07333929,1.11,3,cow
person,stigmatic,0.10069286,1.11,3,cow
person,manipulator,0.08744386,1.09,3,cow
person,balker,0.024834463,1.09,3,cow
person,termer,0.049935505,1.09,3,cow
person,blogger,0.07216225,1.06,3,cow
person,namesake,0.10217348,1.06,3,cow
person,linguist,0.08869924,1.04,3,cow
person,proponent,0.08518701,1.04,3,cow
person,advocate,0.08033821,1.04,3,cow
person,demander,0.06329113,1.01,3,cow
person,apprehender,0.10321728,1.01,3,cow
person,homophile,0.081766,1.01,3,cow
person,picker,0.1331341,0.99,3,cow
person,objector,0.071194865,0.99,3,cow
person,chutzpanik,0.05732887,0.99,3,cow
person,brunette,0.07041924,0.98,3,cow
person,gatekeeper,0.062913336,0.98,3,cow
person,chooser,0.055683747,0.96,3,cow
person,redheader,0.09479676,0.95,3,cow
person,commoner,0.05852325,0.95,3,cow
person,convert,0.09723731,0.95,3,cow
person,affiant,0.035336323,0.94,3,cow
person,grinner,0.11880943,0.94,3,cow
person,modifier,0.04160636,0.92,3,cow
person,bullfighter,0.085190155,0.91,3,cow
person,red-header,0.1192092,0.88,3,cow
person,abjurer,0.069628544,0.88,3,cow
person,applier,0.065985896,0.88,3,cow
person,tapper,0.041972358,0.87,3,cow
person,neighbour,0.09955308,0.85,3,cow
person,individualist,0.108178735,0.84,3,cow
person,gainer,0.10664285,0.83,3,cow
person,withholder,0.08303424,0.83,3,cow
person,testator,0.0864084,0.81,3,cow
person,needer,0.06089898,0.81,3,cow
person,admirer,0.11557853,0.8,3,cow
person,socializer,0.085492894,0.79,3,cow
person,nonresident,0.0897303,0.79,3,cow
person,user,0.10890643,0.79,3,cow
person,friend,0.057278015,0.79,3,cow
person,baulker,0.052254304,0.79,3,cow
person,polyglot,0.10399683,0.78,3,cow
person,quester,0.060114138,0.74,3,cow
person,registrant,0.052047282,0.74,3,cow
person,victim,0.12059836,0.74,3,cow
person,peer,0.04290308,0.73,3,cow
person,socialiser,0.026831532,0.73,3,cow
person,applied_scientist,0.15509987,0.73,3,cow
person,toreador,0.0826365,0.71,3,cow
person,huddler,0.05283039,0.7,3,cow
person,jumper,0.10805129,0.7,3,cow
person,abator,0.057686094,0.69,3,cow
person,spurner,0.065159485,0.68,3,cow
person,perspirer,0.08516172,0.66,3,cow
person,dissenter,0.083422,0.66,3,cow
person,domestic_partner,0.051571008,0.65,3,cow
person,advocator,0.05453929,0.65,3,cow
person,relative,0.048752677,0.64,3,cow
person,transsexual,0.10133296,0.64,3,cow
person,common_person,0.13757546,0.63,3,cow
person,aboriginal,0.14286199,0.63,3,cow
person,charmer,0.068404324,0.63,3,cow
person,faddist,0.03601872,0.63,3,cow
person,combatant,0.0358567,0.62,3,cow
person,gatherer,0.045343194,0.62,3,cow
person,slobberer,0.074175835,0.62,3,cow
person,image,0.105872065,0.62,3,cow
person,White_person,0.13334423,0.62,3,cow
person,compeer,0.056110505,0.62,3,cow
person,acquaintance,0.08528713,0.62,3,cow
person,unusual_person,0.15120827,0.61,3,cow
person,buster,0.050328195,0.61,3,cow
person,prospect,0.07230208,0.59,3,cow
person,pussycat,0.091289796,0.59,3,cow
person,baby_boomer,0.087459356,0.58,3,cow
person,Libra,0.04049781,0.58,3,cow
person,advisee,0.16291484,0.58,3,cow
person,married,0.070007615,0.58,3,cow
person,pamperer,0.046597224,0.57,3,cow
person,heterosexual_person,0.14637779,0.56,3,cow
person,junior,0.040899128,0.55,3,cow
person,personage,0.09228943,0.55,3,cow
person,aper,0.08562245,0.55,3,cow
person,transexual,0.11552579,0.55,3,cow
person,righthander,0.09059714,0.54,3,cow
person,active,0.03264348,0.54,3,cow
person,forgiver,0.05912494,0.53,3,cow
person,Hebrew,0.0,0.53,3,cow
person,succeeder,0.18065882,0.51,3,cow
person,contestant,0.085790575,0.51,3,cow
person,maimer,0.030897442,0.5,3,cow
person,extravert,0.079567075,0.49,3,cow
person,being,0.18626523,0.49,3,cow
person,traveller,0.07007082,0.49,3,cow
person,indigene,0.095186286,0.49,3,cow
person,debitor,0.028965704,0.49,3,cow
person,miracle_worker,0.085726,0.48,3,cow
person,muscle-builder,0.070396855,0.48,3,cow
person,squirmer,0.057663687,0.48,3,cow
person,expectorator,0.04379204,0.47,3,cow
person,Latin,0.041285113,0.47,3,cow
person,habitant,0.03634109,0.47,3,cow
person,suspect,0.19713582,0.47,3,cow
person,scientist,0.23143859,0.47,3,cow
person,worker,0.072473325,0.47,3,cow
person,muscleman,0.10362802,0.47,3,cow
person,powderer,0.035433806,0.47,3,cow
person,opponent,0.051496513,0.46,3,cow
person,complexifier,0.17287327,0.46,3,cow
person,beguiler,0.061102558,0.46,3,cow
person,Leo,0.11776994,0.46,3,cow
person,transvestite,0.10147161,0.46,3,cow
person,male,0.087050915,0.45,3,cow
person,precursor,0.09987371,0.45,3,cow
person,relation,0.055947468,0.45,3,cow
person,technologist,0.054834753,0.44,3,cow
person,first_person,0.12991133,0.44,3,cow
person,segregate,0.11219724,0.44,3,cow
person,smotherer,0.031320054,0.43,3,cow
person,introvert,0.12614404,0.42,4,cow
person,spousal_equivalent,0.037812572,0.42,4,cow
person,nurser,0.086669646,0.42,4,cow
person,thirster,0.03481122,0.42,4,cow
person,sniffer,0.08494291,0.42,4,cow
person,straight_person,0.15704466,0.42,4,cow
person,acquirer,0.15706986,0.41,4,cow
person,mutilator,0.09185131,0.41,4,cow
person,denizen,0.07443316,0.41,4,cow
person,dyslectic,0.095480256,0.41,4,cow
person,juvenile_person,0.056546576,0.4,4,cow
person,third_person,0.17393117,0.4,4,cow
person,pardoner,0.07553842,0.4,4,cow
person,worldling,0.12745945,0.4,4,cow
person,masturbator,0.12141159,0.4,4,cow
person,captor,0.0852664,0.4,4,cow
person,Twin,0.16885589,0.4,4,cow
person,waker,0.07146138,0.4,4,cow
person,self,0.103997454,0.4,4,cow
person,searcher,0.09998774,0.4,4,cow
person,topper,0.09099553,0.39,4,cow
person,simpleton,0.17172807,0.39,4,cow
person,drooler,0.079122335,0.39,4,cow
person,double,0.16865332,0.38,4,cow
person,nonpartisan,0.045491397,0.37,4,cow
person,unraveller,0.060958058,0.37,4,cow
person,match,0.113805234,0.37,4,cow
person,boomer,0.115780905,0.37,4,cow
person,candidate,0.07041168,0.37,4,cow
person,survivor,0.1704662,0.37,4,cow
person,female_person,0.08041259,0.37,4,cow
person,primitive,0.0522271,0.36,4,cow
person,mesomorph,0.075582236,0.36,4,cow
person,subject,0.070225164,0.35,4,cow
person,stooper,0.04716822,0.35,4,cow
person,fighter,0.067567326,0.35,4,cow
person,appointee,0.053799167,0.35,4,cow
person,reliever,0.039464217,0.35,4,cow
person,doer,0.083936214,0.35,4,cow
person,communicator,0.06003095,0.35,4,cow
person,stigmatist,0.1518717,0.35,4,cow
person,middlebrow,0.108282864,0.34,4,cow
person,person_of_color,0.113499396,0.34,4,cow
person,first-rater,0.07713237,0.34,4,cow
person,hoper,0.023835259,0.33,4,cow
person,capturer,0.08649664,0.33,4,cow
person,Black,0.1029103,0.33,4,cow
person,copycat,0.1527647,0.33,4,cow
person,censor,0.1711184,0.33,4,cow
person,weight_gainer,0.06872318,0.33,4,cow
person,cause,0.19593316,0.32,4,cow
person,good_person,0.17533924,0.32,4,cow
person,significant_other,0.117215335,0.32,4,cow
person,controversialist,0.16194253,0.32,4,cow
person,swayer,0.03969541,0.31,4,cow
person,second-rater,0.054484688,0.31,4,cow
person,differentiator,0.1274844,0.31,4,cow
person,monolingual,0.11766606,0.31,4,cow
person,sentimentalist,0.052987,0.3,4,cow
person,form,0.13903938,0.3,4,cow
person,outcaste,0.1406757,0.3,4,cow
person,abstainer,0.08435903,0.3,4,cow
person,spitter,0.08925315,0.3,4,cow
person,measurer,0.07132266,0.29,4,cow
person,appointment,0.080412455,0.29,4,cow
person,enjoyer,0.07215335,0.29,4,cow
person,expert,0.09343743,0.29,4,cow
person,wuss,0.21137305,0.29,4,cow
person,third-rater,0.06955012,0.28,4,cow
person,creator,0.17781873,0.28,4,cow
person,primitive_person,0.10908095,0.28,4,cow
person,Jat,0.05136622,0.28,4,cow
person,signatory,0.050286505,0.28,4,cow
person,guesser,0.18091995,0.27,4,cow
person,celebrant,0.015795903,0.27,4,cow
person,mixed-blood,0.21173728,0.27,4,cow
person,supernumerary,0.09476749,0.27,4,cow
person,sneezer,0.051396824,0.27,4,cow
person,collector,0.082804054,0.27,4,cow
person,abomination,0.21595792,0.27,4,cow
person,possessor,0.11292297,0.26,4,cow
person,mover_and_shaker,0.07259202,0.26,4,cow
person,decedent,0.066244945,0.26,4,cow
person,witness,0.15086569,0.26,4,cow
person,achiever,0.095218614,0.26,4,cow
person,creeper,0.08083809,0.26,4,cow
person,southpaw,0.046718407,0.26,4,cow
person,person_of_colour,0.11634827,0.26,4,cow
person,thrower,0.17036875,0.26,4,cow
person,inexperienced_person,0.14195937,0.25,4,cow
person,computer_user,0.04067333,0.25,4,cow
person,unfortunate,0.31152678,0.25,4,cow
person,follower,0.07272041,0.25,4,cow
person,hater,0.08936079,0.25,4,cow
person,second_person,0.11723926,0.25,4,cow
person,knower,0.08538115,0.25,4,cow
person,visually_impaired_person,0.10545419,0.25,4,cow
person,deaf_person,0.07728199,0.25,4,cow
person,agnostic,0.14833954,0.24,4,cow
person,showman,0.09026783,0.24,4,cow
person,baby_buster,0.05230908,0.24,4,cow
person,modern,0.11603046,0.24,4,cow
person,amateur,0.029311119,0.23,4,cow
person,eristic,0.045289025,0.23,4,cow
person,aggregator,0.13987099,0.23,4,cow
person,attempter,0.10633212,0.23,4,cow
person,assimilator,0.032142177,0.23,4,cow
person,grunter,0.056727886,0.23,4,cow
person,pursuer,0.033583667,0.23,4,cow
person,public_relations_person,0.016796567,0.23,4,cow
person,blond,0.08938817,0.23,4,cow
person,opener,0.0694451,0.23,4,cow
person,Sagittarius,0.050305814,0.22,4,cow
person,assessee,0.113223985,0.22,4,cow
person,stranger,0.08745314,0.22,4,cow
person,nonperson,0.14388484,0.22,4,cow
person,Jew,0.12655544,0.22,4,cow
person,kneeler,0.059350036,0.21,4,cow
person,wanter,0.09126588,0.21,4,cow
person,threat,0.14853983,0.21,4,cow
person,bodybuilder,0.064491875,0.21,4,cow
person,struggler,0.066781625,0.21,4,cow
person,bod,0.031037863,0.21,4,cow
person,closer,0.07103123,0.21,4,cow
person,adversary,0.12437115,0.21,4,cow
person,neutral,0.09897517,0.2,4,cow
person,Native_American,0.103123225,0.2,4,cow
person,observer,0.10055339,0.2,4,cow
person,adjudicator,0.031939726,0.2,4,cow
person,simple,0.0956469,0.2,4,cow
person,person,0.09143496,0.2,4,cow
person,unwelcome_person,0.1018635,0.2,4,cow
person,defecator,0.05296838,0.2,4,cow
person,lefty,0.06135785,0.19,4,cow
person,surrenderer,0.089108326,0.19,4,cow
person,scrapper,0.07220497,0.19,4,cow
person,survivalist,0.09822608,0.19,4,cow
person,deceased,0.07750951,0.19,4,cow
person,percipient,0.15310305,0.19,4,cow
person,traveler,0.055469565,0.19,4,cow
person,rester,0.06378087,0.19,4,cow
person,grownup,0.16833256,0.19,4,cow
person,heterosexual,0.18693024,0.19,4,cow
person,gentile,0.09594598,0.18,4,cow
person,signer,0.05116289,0.18,4,cow
person,doubter,0.16193083,0.18,4,cow
person,namer,0.06188207,0.18,4,cow
person,success,0.20390236,0.18,4,cow
person,muscle_builder,0.069344714,0.18,4,cow
person,child,0.13146962,0.18,4,cow
person,capitalist,0.09554502,0.18,4,cow
person,rescuer,0.114975184,0.18,4,cow
person,saver,0.05972643,0.18,4,cow
person,religious_person,0.114882104,0.18,4,cow
person,national,0.106630266,0.17,4,cow
person,sport,0.07926491,0.17,4,cow
person,deviser,0.10507515,0.17,4,cow
person,malcontent,0.16557223,0.17,4,cow
person,tagger,0.063889235,0.17,4,cow
person,longer,0.15783548,0.17,4,cow
person,free_spirit,0.045183547,0.17,4,cow
person,misogamist,0.1153003,0.16,4,cow
person,dissident,0.11747386,0.16,4,cow
person,ward,0.14993209,0.16,4,cow
person,persona_non_grata,0.137238,0.16,4,cow
person,scholar,0.17022005,0.16,4,cow
person,neglecter,0.06880557,0.16,4,cow
person,endomorph,0.08086178,0.16,4,cow
person,seeker,0.037957404,0.16,4,cow
person,faller,0.065533504,0.16,4,cow
person,musclebuilder,0.06693759,0.16,4,cow
person,Gemini,0.15165943,0.16,4,cow
person,unfortunate_person,0.25535244,0.15,4,cow
person,repeater,0.07606888,0.15,4,cow
person,causal_agency,0.07263106,0.15,4,cow
person,personification,0.13289922,0.15,4,cow
person,battler,0.07794266,0.15,4,cow
person,nondescript,0.15435947,0.15,4,cow
person,walk-in,0.07791877,0.15,4,cow
person,yearner,0.1232585,0.15,4,cow
person,disputant,0.13401762,0.15,4,cow
person,innocent,0.19112553,0.15,4,cow
person,blonde,0.111430354,0.15,4,cow
person,sex_object,0.12136191,0.15,4,cow
person,dupe,0.13820095,0.15,4,cow
person,snuffler,0.08931745,0.14,4,cow
person,creature,0.18894845,0.14,4,cow
person,carrottop,0.044983648,0.14,4,cow
person,celebrator,0.033715658,0.14,4,cow
person,outdoorsman,0.07574253,0.14,4,cow
person,baby,0.15967785,0.14,4,cow
person,debtor,0.04272482,0.14,4,cow
person,terror,0.22341786,0.14,4,cow
person,optimist,0.12352075,0.14,4,cow
person,contemplative,0.048183713,0.14,4,cow
person,winker,0.11108228,0.14,4,cow
person,untier,0.12899801,0.14,4,cow
person,gambler,0.09748624,0.14,4,cow
person,opposer,0.0365574,0.14,4,cow
person,radical,0.12979302,0.14,4,cow
person,right_hander,0.05678424,0.13,4,cow
person,autodidact,0.06997351,0.13,4,cow
