label,synonym,attnMap,sim_score,position,first
rider,rider,0.37962762,96.92,1,same
rider,horseback_rider,0.5569414,96.68,1,same
rider,equestrian,0.55261886,94.97,1,same
rider,horseman,0.5061772,71.19,1,same
rider,pedaler,0.2573407,26.25,2,horse
rider,pedaller,0.26538622,8.99,2,horse
rider,fare,0.18251067,5.41,2,horse
rider,stowaway,0.21385147,4.88,2,horse
rider,article,0.15568754,1.79,2,horse
rider,passenger,0.14726394,1.52,2,horse
rider,traveller,0.1939902,1.36,2,horse
rider,commuter,0.23929304,1.0,2,horse
rider,traveler,0.13182604,0.78,2,horse
rider,clause,0.10129484,0.46,3,horse
rider,hitchhiker,0.07985547,0.09,11,horse
rider,straphanger,0.15290186,0.04,14,horse
rider,hang_glider,0.1274642,0.04,14,horse
